"unique","age","lactation","disease","presence"
"K129-P270",5.6,"4","da",0
"K129-P282",7.9,"7","mf",0
"K129-P282",7.9,"7","da",1
"K12-P1003",2.3,"1","mf",0
"K12-P1003",2.3,"1","da",0
"K12-P1006",2.2,"1","mf",0
"K12-P1006",2.2,"1","da",0
"K12-P1008",3.3,"2","mf",0
"K12-P1008",3.3,"2","da",0
"K12-P1009",2.1,"1","mf",0
"K12-P1009",2.1,"1","da",0
"K12-P1018",4.4,"3","mf",0
"K12-P1018",4.4,"3","da",0
"K12-P1023",3.3,"2","mf",0
"K12-P1023",3.3,"2","da",0
"K12-P1027",2.1,"1","mf",0
"K12-P1027",2.1,"1","da",0
"K12-P1030",2.8,"1","mf",0
"K12-P1030",2.8,"1","da",0
"K12-P1032",3.5,"2","mf",0
"K12-P1032",3.5,"2","da",0
"K12-P1061",2.6,"1","mf",0
"K12-P1061",2.6,"1","da",0
"K12-P1063",2,"1","mf",0
"K12-P1063",2,"1","da",0
"K12-P1068",2.4,"1","mf",0
"K12-P1068",2.4,"1","da",0
"K12-P148",8.1,"7","mf",0
"K12-P148",8.1,"7","da",0
"K12-P167",7.9,"6","mf",1
"K12-P167",7.9,"6","da",0
"K12-P259",6.4,"5","mf",1
"K12-P259",6.4,"5","da",0
"K12-P270",6.3,"5","mf",0
"K12-P270",6.3,"5","da",0
"K12-P276",6.7,"5","mf",0
"K12-P276",6.7,"5","da",0
"K12-P277",6,"5","mf",0
"K12-P277",6,"5","da",0
"K12-P306",6.1,"5","mf",0
"K12-P306",6.1,"5","da",0
"K12-P313",7.1,"5","mf",0
"K12-P313",7.1,"5","da",0
"K12-P322",5.9,"4","mf",0
"K12-P322",5.9,"4","da",1
"K12-P367",5.5,"4","mf",0
"K12-P367",5.5,"4","da",0
"K12-P401",4.3,"3","mf",0
"K12-P401",4.3,"3","da",0
"K12-P405",5,"3","mf",0
"K12-P405",5,"3","da",0
"K12-P414",5,"4","mf",0
"K12-P414",5,"4","da",0
"K12-P418",4.3,"3","mf",0
"K12-P418",4.3,"3","da",0
"K12-P425",4.2,"3","mf",0
"K12-P425",4.2,"3","da",0
"K12-P433",4.3,"3","mf",0
"K12-P433",4.3,"3","da",0
"K12-P435",4.2,"3","mf",0
"K12-P435",4.2,"3","da",0
"K12-P436",4.5,"3","mf",0
"K12-P436",4.5,"3","da",0
"K12-P452",4.3,"3","mf",0
"K12-P452",4.3,"3","da",0
"K12-P475",3.5,"2","mf",0
"K12-P475",3.5,"2","da",0
"K12-P476",4.1,"3","mf",0
"K12-P476",4.1,"3","da",0
"K12-P502",3.4,"2","mf",0
"K12-P502",3.4,"2","da",0
"K12-P516",3.1,"2","mf",0
"K12-P516",3.1,"2","da",0
"K12-P526",3,"2","mf",0
"K12-P526",3,"2","da",0
"K12-P534",3,"2","mf",0
"K12-P534",3,"2","da",0
"K12-P548",3.2,"2","mf",0
"K12-P548",3.2,"2","da",0
"K12-P556",4,"3","mf",0
"K12-P556",4,"3","da",0
"K12-P560",2.3,"1","mf",0
"K12-P560",2.3,"1","da",1
"K12-P575",2.1,"1","mf",0
"K12-P575",2.1,"1","da",0
"K12-P577",2.1,"1","mf",0
"K12-P577",2.1,"1","da",0
"K12-P603",2.2,"1","mf",0
"K12-P603",2.2,"1","da",0
"K12-P728",3.7,"2","mf",0
"K12-P728",3.7,"2","da",0
"K12-P729",3.5,"2","mf",0
"K12-P729",3.5,"2","da",0
"K12-P731",3.6,"2","mf",0
"K12-P731",3.6,"2","da",1
"K12-P733",3.7,"2","mf",0
"K12-P733",3.7,"2","da",0
"K12-P760",3.1,"2","mf",0
"K12-P760",3.1,"2","da",0
"K12-P765",3.4,"2","mf",0
"K12-P765",3.4,"2","da",0
"K12-P770",3.2,"2","mf",0
"K12-P770",3.2,"2","da",0
"K12-P772",3.4,"2","mf",0
"K12-P772",3.4,"2","da",0
"K12-P780",3.4,"2","mf",0
"K12-P780",3.4,"2","da",0
"K12-P783",3.2,"2","mf",0
"K12-P783",3.2,"2","da",0
"K12-P792",3.8,"3","mf",0
"K12-P792",3.8,"3","da",0
"K12-P794",3,"2","mf",0
"K12-P794",3,"2","da",0
"K12-P796",3.1,"2","mf",0
"K12-P796",3.1,"2","da",0
"K12-P802",2.3,"1","mf",0
"K12-P802",2.3,"1","da",0
"K12-P804",3.5,"2","mf",0
"K12-P804",3.5,"2","da",0
"K12-P808",3.2,"2","mf",0
"K12-P808",3.2,"2","da",0
"K12-P818",5.1,"4","mf",0
"K12-P818",5.1,"4","da",0
"K12-P854",7.5,"5","mf",0
"K12-P854",7.5,"5","da",0
"K12-P918",4.4,"2","mf",0
"K12-P918",4.4,"2","da",0
"K12-P925",1.9,"1","mf",0
"K12-P925",1.9,"1","da",0
"K12-P932",2.1,"1","mf",0
"K12-P932",2.1,"1","da",0
"K12-P938",2.9,"1","mf",0
"K12-P938",2.9,"1","da",0
"K12-P947",2,"1","mf",0
"K12-P947",2,"1","da",0
"K12-P961",2.5,"1","mf",0
"K12-P961",2.5,"1","da",0
"K130-P341",10.1,"8","mf",0
"K130-P341",10.1,"8","da",0
"K130-P450",7.5,"6","mf",0
"K130-P450",7.5,"6","da",0
"K130-P494",7,"5","mf",0
"K130-P494",7,"5","da",0
"K130-P502",6.2,"5","mf",0
"K130-P502",6.2,"5","da",0
"K130-P518",6.2,"5","mf",0
"K130-P518",6.2,"5","da",0
"K130-P519",6.4,"5","mf",0
"K130-P519",6.4,"5","da",0
"K130-P543",5.6,"4","mf",0
"K130-P543",5.6,"4","da",0
"K130-P587",4.4,"3","mf",0
"K130-P587",4.4,"3","da",0
"K130-P595",4.3,"3","mf",0
"K130-P595",4.3,"3","da",0
"K130-P612",4,"3","mf",0
"K130-P612",4,"3","da",0
"K130-P617",4.3,"3","mf",0
"K130-P617",4.3,"3","da",0
"K130-P626",3.9,"2","mf",0
"K130-P626",3.9,"2","da",1
"K130-P637",4.1,"3","mf",0
"K130-P637",4.1,"3","da",0
"K130-P644",3.4,"3","mf",0
"K130-P644",3.4,"3","da",0
"K130-P647",3.2,"2","mf",0
"K130-P647",3.2,"2","da",0
"K130-P657",3,"2","mf",0
"K130-P657",3,"2","da",0
"K130-P663",3.1,"2","mf",0
"K130-P663",3.1,"2","da",0
"K130-P671",3.2,"2","mf",0
"K130-P671",3.2,"2","da",0
"K130-P683",2.8,"1","mf",0
"K130-P683",2.8,"1","da",0
"K130-P705",2,"1","mf",0
"K130-P705",2,"1","da",0
"K130-P708",3,"2","mf",0
"K130-P708",3,"2","da",0
"K130-P710",2.1,"1","mf",0
"K130-P710",2.1,"1","da",0
"K13-P435",5.4,"4","mf",0
"K13-P435",5.4,"4","da",0
"K13-P439",4.2,"3","mf",0
"K13-P439",4.2,"3","da",0
"K13-P440",3.9,"3","mf",0
"K13-P440",3.9,"3","da",0
"K13-P447",4.2,"3","mf",0
"K13-P447",4.2,"3","da",0
"K13-P488",3.3,"2","mf",0
"K13-P488",3.3,"2","da",0
"K13-P510",1.9,"1","mf",0
"K13-P510",1.9,"1","da",0
"K13-P529",2.1,"1","mf",0
"K13-P529",2.1,"1","da",0
"K13-P530",1.9,"1","mf",0
"K13-P530",1.9,"1","da",0
"K13-P531",2,"1","mf",0
"K13-P531",2,"1","da",0
"K1-P1001",2.3,"1","mf",0
"K1-P1001",2.3,"1","da",0
"K1-P1008",4.6,"3","mf",0
"K1-P1008",4.6,"3","da",0
"K1-P1028",5.4,"3","mf",0
"K1-P1028",5.4,"3","da",0
"K1-P1037",2,"1","mf",0
"K1-P1037",2,"1","da",0
"K1-P1047",3,"2","mf",0
"K1-P1047",3,"2","da",0
"K1-P1055",2.3,"1","mf",0
"K1-P1055",2.3,"1","da",0
"K1-P1056",2.3,"1","mf",0
"K1-P1056",2.3,"1","da",0
"K1-P1083",2.5,"2","mf",0
"K1-P1083",2.5,"2","da",0
"K1-P1086",6.3,"5","mf",0
"K1-P1086",6.3,"5","da",0
"K1-P700",7.6,"6","mf",0
"K1-P700",7.6,"6","da",0
"K1-P745",6.2,"4","mf",0
"K1-P745",6.2,"4","da",0
"K1-P764",6.1,"4","mf",0
"K1-P764",6.1,"4","da",0
"K1-P811",5.3,"3","mf",1
"K1-P811",5.3,"3","da",1
"K1-P819",5.1,"4","mf",0
"K1-P819",5.1,"4","da",0
"K1-P833",5.6,"3","mf",0
"K1-P833",5.6,"3","da",1
"K1-P915",3.3,"2","mf",0
"K1-P915",3.3,"2","da",0
"K1-P931",3.3,"2","mf",0
"K1-P931",3.3,"2","da",0
"K1-P965",2.3,"1","mf",0
"K1-P965",2.3,"1","da",0
"K1-P969",4.2,"2","mf",0
"K1-P969",4.2,"2","da",0
"K1-P980",2.1,"1","mf",0
"K1-P980",2.1,"1","da",0
"K1-P991",3.7,"2","mf",0
"K1-P991",3.7,"2","da",0
"K1-P992",2.2,"1","mf",0
"K1-P992",2.2,"1","da",1
