"unique","age","lactation","disease","presence"
"K106-P346",3,"2","da",0
"K106-P352",3.1,"2","mf",0
"K106-P352",3.1,"2","da",0
"K106-P361",2,"1","mf",0
"K106-P361",2,"1","da",0
"K106-P366",2.1,"1","mf",0
"K106-P366",2.1,"1","da",0
"K107-P298",5.3,"3","mf",0
"K107-P298",5.3,"3","da",0
"K107-P318",3.9,"2","mf",0
"K107-P318",3.9,"2","da",0
"K107-P331",3.9,"2","mf",0
"K107-P331",3.9,"2","da",0
"K107-P350",2.8,"1","mf",0
"K107-P350",2.8,"1","da",0
"K108-P117",3.1,"2","mf",0
"K108-P117",3.1,"2","da",0
"K108-P128",3.2,"2","mf",0
"K108-P128",3.2,"2","da",0
"K108-P56",6.8,"5","mf",0
"K108-P56",6.8,"5","da",0
"K108-P58",6.4,"5","mf",0
"K108-P58",6.4,"5","da",0
"K108-P6",9.4,"7","mf",0
"K108-P6",9.4,"7","da",0
"K10-P113",4.1,"3","mf",0
"K10-P113",4.1,"3","da",0
"K10-P160",4.5,"3","mf",0
"K10-P160",4.5,"3","da",0
"K10-P172",3.9,"2","mf",0
"K10-P172",3.9,"2","da",0
"K10-P199",2,"1","mf",0
"K10-P199",2,"1","da",0
"K10-P5",7.4,"5","mf",1
"K10-P5",7.4,"5","da",0
"K10-P81",5.6,"4","mf",0
"K10-P81",5.6,"4","da",0
"K110-P523",5.2,"4","mf",0
"K110-P523",5.2,"4","da",0
"K110-P578",4.8,"3","mf",0
"K110-P578",4.8,"3","da",0
"K110-P607",4.4,"3","mf",0
"K110-P607",4.4,"3","da",0
"K110-P609",4.5,"3","mf",0
"K110-P609",4.5,"3","da",0
"K110-P611",3.8,"2","mf",0
"K110-P611",3.8,"2","da",0
"K110-P630",6.3,"4","mf",0
"K110-P630",6.3,"4","da",0
"K110-P633",4.2,"3","mf",0
"K110-P633",4.2,"3","da",0
"K110-P645",3.1,"2","mf",0
"K110-P645",3.1,"2","da",0
"K110-P661",3.2,"2","mf",0
"K110-P661",3.2,"2","da",0
"K110-P662",3.2,"2","mf",0
"K110-P662",3.2,"2","da",0
"K110-P669",3.1,"2","mf",0
"K110-P669",3.1,"2","da",0
"K110-P670",3.3,"2","mf",0
"K110-P670",3.3,"2","da",0
"K110-P671",3.2,"2","mf",0
"K110-P671",3.2,"2","da",0
"K110-P673",3.2,"2","mf",0
"K110-P673",3.2,"2","da",0
"K110-P680",2.2,"1","mf",0
"K110-P680",2.2,"1","da",0
"K110-P687",2.3,"1","mf",0
"K110-P687",2.3,"1","da",0
"K110-P706",2.4,"1","mf",0
"K110-P706",2.4,"1","da",0
"K110-P735",2.4,"1","mf",0
"K110-P735",2.4,"1","da",0
"K110-P787",2,"1","mf",0
"K110-P787",2,"1","da",0
"K111-P110",3.6,"2","mf",0
